"year","sex","age","deaths"
2011,"male",75,887.063140338337
2011,"male",80,830.09578270193
2011,"male",85,99.6928758637122
2012,"male",0,235.638278388278
2012,"male",1,54.8468406593407
2012,"male",5,29.4547847985348
2012,"male",10,50.7841117216117
2012,"male",15,222.434409340659
2012,"male",20,440.80608974359
2012,"male",25,379.865155677656
2012,"male",30,408.304258241758
2012,"male",35,428.617902930403
2012,"male",40,345.33195970696
2012,"male",45,392.053342490843
2012,"male",50,418.461080586081
2012,"male",55,523.076350732601
2012,"male",60,601.283882783883
2012,"male",65,687.616872710623
2012,"male",70,797.310554029304
2012,"male",75,952.709935897436
2012,"male",80,812.545787545788
2012,"male",85,1091.85840201465
2013,"male",0,253.418733136323
2013,"male",1,47.4529101888732
2013,"male",5,32.3083643839137
2013,"male",10,33.318000770911
2013,"male",15,211.014004882436
2013,"male",20,358.420917384042
2013,"male",25,359.430553771039
2013,"male",30,352.363099062058
2013,"male",35,415.970191442888
2013,"male",40,378.613645123988
2013,"male",45,383.661827058975
2013,"male",50,437.172555569832
2013,"male",55,519.96273930361
2013,"male",60,616.887832455351
2013,"male",65,719.870743929076
2013,"male",70,877.374020300655
2013,"male",75,915.740203006553
2013,"male",80,837.998201207761
2013,"male",85,107.021457021714
2014,"male",0,257.379162887132
2014,"male",1,56.5224828301153
2014,"male",5,32.2985616172088
2014,"male",10,36.3358818193599
2014,"male",15,180.670079046261
2014,"male",20,353.265517688221
2014,"male",25,347.209537384994
2014,"male",30,343.172217182843
2014,"male",35,363.358818193599
2014,"male",40,367.39613839575
2014,"male",45,399.694700012958
2014,"male",50,428.965271478554
2014,"male",55,549.075547492549
2014,"male",60,620.737981080731
2014,"male",65,689.372424517299
2014,"male",70,837.743941946352
2014,"male",75,958.863548010885
2014,"male",80,857.930542957108
2014,"male",85,109.00764545808
2015,"male",0,295.321613236815
2015,"male",1,60.6825232678387
2015,"male",5,23.2616339193382
2015,"male",10,45.511892450879
2015,"male",15,167.888314374354
2015,"male",20,312.514994829369
2015,"male",25,313.526370217167
2015,"male",30,288.241985522234
2015,"male",35,374.208893485005
2015,"male",40,349.93588417787
2015,"male",45,361.06101344364
2015,"male",50,435.902792140641
2015,"male",55,497.596690796277
2015,"male",60,600.756980351603
2015,"male",65,738.304033092037
2015,"male",70,926.419855222337
2015,"male",75,969.908996897621
2015,"male",80,955.749741468459
2015,"male",85,107.205791106515
2016,"male",0,261.071428571429
2016,"male",1,56.3095238095238
2016,"male",5,26.6190476190476
2016,"male",10,39.9285714285714
2016,"male",15,209.880952380952
2016,"male",20,371.642857142857
2016,"male",25,370.619047619048
2016,"male",30,349.119047619048
2016,"male",35,345.02380952381
2016,"male",40,353.214285714286
2016,"male",45,377.785714285714
2016,"male",50,457.642857142857
2016,"male",55,597.904761904762
2016,"male",60,714.619047619048
2016,"male",65,760.690476190476
2016,"male",70,939.857142857143
2016,"male",75,1038.14285714286
2016,"male",80,1039.16666666667
2016,"male",85,118.761904761905
2017,"male",0,257.940374393344
2017,"male",1,48.1079269701872
2017,"male",5,29.6836145135198
2017,"male",10,41.9664894846314
2017,"male",15,236.445343193899
2017,"male",20,460.607811416686
2017,"male",25,440.1363531315
2017,"male",30,442.183498960018
2017,"male",35,413.523457360758
2017,"male",40,451.395655188352
2017,"male",45,411.476311532239
2017,"male",50,496.432863415762
2017,"male",55,599.813727755951
2017,"male",60,677.605269239658
2017,"male",65,787.127571065403
2017,"male",70,875.154841691703
2017,"male",75,1098.29373700023
2017,"male",80,993.889299745782
2017,"male",85,96.2158539403744
2018,"male",0,310.993141776044
2018,"male",1,40.5202790587679
2018,"male",5,33.4292302234835
2018,"male",10,45.5853139411139
2018,"male",15,147.899018564503
2018,"male",20,355.565448740688
2018,"male",25,338.344330140712
2018,"male",30,369.747546411257
2018,"male",35,340.37034409365
2018,"male",40,425.462930117063
2018,"male",45,423.436916164124
2018,"male",50,475.100271964053
2018,"male",55,595.648102163888
2018,"male",60,724.299988175476
2018,"male",65,867.133971857633
2018,"male",70,925.888376492846
2018,"male",75,1032.25410902211
2018,"male",80,989.707816010406
2018,"male",85,125.61286508218
2019,"male",0,239.112931955825
2019,"male",1,49.048806555041
2019,"male",5,21.4588528678304
2019,"male",10,27.5899536872105
2019,"male",15,169.627122669517
2019,"male",20,300.423940149626
2019,"male",25,335.16684479278
2019,"male",30,337.210545065907
2019,"male",35,359.6912480703
2019,"male",40,397.499703123145
2019,"male",45,466.985512409453
2019,"male",50,510.925068281677
2019,"male",55,600.847880299252
2019,"male",60,780.693504334402
2019,"male",65,860.397814986344
2019,"male",70,947.255076594229
2019,"male",75,1048.418240114
2019,"male",80,1037.1778886118
2019,"male",85,115.469065431659
2020,"male",0,176.40016760947
2020,"male",1,56.3645505971087
2020,"male",5,24.0071234024722
2020,"male",10,39.6639430127802
2020,"male",15,201.451078985963
2020,"male",20,295.391996647811
2020,"male",25,355.931699141001
2020,"male",30,380.982610517494
2020,"male",35,458.222920595014
2020,"male",40,561.557930023046
2020,"male",45,789.103708359522
2020,"male",50,872.606746281165
2020,"male",55,62.6272784412319
2020,"male",60,67.8462183113346
2020,"male",65,84.5468258956631
2020,"male",70,106.466373350094
2020,"male",75,129.429708778546
2020,"male",80,127.342132830505
2020,"male",85,192.056987219778
2021,"male",0,226.398648648649
2021,"male",1,34.8305613305613
2021,"male",5,22.537422037422
2021,"male",10,45.0748440748441
2021,"male",15,169.030665280665
2021,"male",20,331.914760914761
2021,"male",25,362.647609147609
2021,"male",30,427.18659043659
2021,"male",35,496.847713097713
2021,"male",40,585.972972972973
2021,"male",45,801.102910602911
2021,"male",50,835.933471933472
2021,"male",55,1010.08627858628
2021,"male",60,55.3191268191268
2021,"male",65,65.5634095634096
2021,"male",70,70.6855509355509
2021,"male",75,87.0764033264033
2021,"male",80,110.638253638254
2021,"male",85,174.152806652807
2022,"male",0,244.39911308204
